Column 1,Lat,Lng,
574,-22.7669418,-43.6861682,
580,-8.0555055,-34.9510099,
217,-21.9712313,-46.7947989,
7,-21.9785244,-47.8812177,
829,-10.1791223,-48.3590402,
15682,-22.7371209,-47.6420609,
17952,-23.3018704,-45.9620883,
3188,-16.7286406,-43.8582139,
1808,-20.3111455,-40.3182056,
1357,-22.9139497,-43.2167964,
3184,2.7904428,-60.771389,
5706,-27.6356389,-48.6537105,
4925,-23.6662978,-46.5453594,
15695,-23.2548858,-47.2931392,
5053,-22.6083065,-43.7112547,
4024,-21.4822609,-47.0088293,
5242,-9.7555596,-36.6639697,
3336,-30.0686373,-51.120404,
882,-20.9381391,-48.502804,
29,-3.7859243,-38.5525385,
694,-20.5015261,-54.6154633,
15715,-21.6732766,-49.7471452,
15121,-27.1146281,-52.7073601,
703,-7.5751223,-40.513421,
3183,-10.9472468,-37.0730823,
5305,-8.8828551,-36.4968966,
14408,-15.7942287,-47.8821658,
38,-1.4319143,-48.4879263,
4926,-24.0088727,-46.4125034,
4020,-22.8520825,-48.4341038,
5322,-31.3253749,-54.1065095,
5036,-26.8819062,-49.1371413,
1820,-5.102232,-42.8140071,
1126,-25.3841774,-51.4918067,
24,-14.7964907,-39.1737163,
15746,-23.5854976,-46.5990106,
572,-22.9030802,-43.1167136,
1584,-22.7858148,-45.1810546,
530,-20.3199538,-40.3291599,
15410,-7.9821907,-38.2893787,
609,-24.9877618,-53.450943,
18440,-5.334897,-49.0884832,
666,-12.2003371,-38.9716385,
2,-15.7631573,-47.8706311,
674,-8.7674127,-38.9548269,
1567,-25.7410353,-53.0692276,
5016,-22.9068467,-43.1728965,
4398,-7.5630149,-35.0131428,
1166,-7.1357202,-34.8734861,
3223,-15.7845824,-47.8867733,
719,-11.8524182,-55.5146494,
15803,-23.3492186,-47.8465761,
43,-27.5983736,-48.5209679,
15696,-21.1409062,-48.0009894,
575,-19.8690878,-43.9663841,
730,-25.0866016,-50.1609305,
5021,-21.2001578,-41.8803055,
149,-20.8274143,-49.3967995,
4023,-23.6636066,-46.4602282,
3849,-10.249091,-48.3242858,
558,-25.4097034,-49.2488323,
46,-23.5504385,-51.4639716,
15745,-23.6233625,-46.5552433,
1578,-31.7653989,-52.3375886,
40,-12.8473182,-38.4523343,
14509,-12.9716403,-38.4382589,
3488,-20.6764422,-43.7942261,
570,-5.8661351,-35.2170732,
31,-19.9411942,-43.9256134,
590,-1.4551138,-48.4453195,
693,-22.9547089,-43.1689141,
1120,-21.7626682,-41.3184501,
73,-8.4118365,-37.0687216,
569,-1.4743514,-48.4531591,
1810,-23.5241181,-46.6231897,
1876,-22.3776144,-46.8976219,
4358,-22.2265606,-45.9233957,
56,-23.5600226,-46.6515035,
789,2.8334458,-60.6946993,
594,-20.1727648,-44.9101975,
15708,-20.5146259,-47.4006132,
967,-21.4303261,-48.5155097,
15639,-23.4849456,-46.3494828,
14724,-25.4289541,-49.267137,
72,-8.6846464,-35.5893533,
15709,-23.5328814,-46.7920029,
17,-18.9181108,-48.2602572,
581,-30.0686373,-51.120404,
93,-23.2003988,-46.8773075,
4428,-22.3900501,-41.8062339,
1809,-8.0591923,-34.9504279,
746,-7.2383984,-39.4154764,
571,-25.4269081,-49.2617658,
